features,p.adj.value,group
Cytoplasm_Texture_InverseDifferenceMoment_CorrPM_3_03_256,0.0121,healthy_pyroptosis
Nuclei_Texture_SumEntropy_CorrPM_3_01_256,0.0251,healthy_pyroptosis
Cells_Texture_InfoMeas1_CorrPM_3_02_256,0.006,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_8_2,0.0474,healthy_pyroptosis
Cytoplasm_Correlation_Correlation_CorrDNA_CorrMito,0.0286,healthy_pyroptosis
Cells_RadialDistribution_MeanFrac_CorrPM_3of4,0.0023,healthy_pyroptosis
Nuclei_RadialDistribution_ZernikeMagnitude_CorrPM_4_0,0.0111,healthy_pyroptosis
Nuclei_RadialDistribution_MeanFrac_CorrPM_1of4,0.0036,healthy_pyroptosis
Cytoplasm_Texture_SumEntropy_CorrPM_3_00_256,0.0133,healthy_pyroptosis
Cells_RadialDistribution_RadialCV_CorrPM_4of4,0.0451,healthy_pyroptosis
Cytoplasm_AreaShape_Zernike_2_2,0.0003,healthy_pyroptosis
Nuclei_Intensity_MADIntensity_CorrPM,0.0144,healthy_pyroptosis
Nuclei_RadialDistribution_MeanFrac_CorrPM_3of4,0.0152,healthy_pyroptosis
Cytoplasm_Texture_DifferenceEntropy_CorrPM_3_01_256,0.0026,healthy_pyroptosis
Cells_AreaShape_Zernike_2_0,0.0123,healthy_pyroptosis
Cytoplasm_AreaShape_Zernike_6_2,0.0016,healthy_pyroptosis
Nuclei_RadialDistribution_MeanFrac_CorrER_3of4,0.0083,healthy_pyroptosis
Nuclei_Texture_AngularSecondMoment_CorrDNA_3_01_256,0.0327,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_8_0,0.023,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_7_3,0.0451,healthy_pyroptosis
Cytoplasm_Texture_SumEntropy_CorrPM_3_02_256,0.0125,healthy_pyroptosis
Nuclei_Texture_Correlation_CorrER_3_01_256,0.0215,healthy_pyroptosis
Nuclei_RadialDistribution_ZernikeMagnitude_CorrPM_7_7,0.0362,healthy_pyroptosis
Cells_Correlation_RWC_CorrPM_CorrDNA,0.0136,healthy_pyroptosis
Nuclei_Texture_InfoMeas1_CorrER_3_03_256,0.0337,healthy_pyroptosis
Nuclei_Granularity_1_CorrGasdermin,0.0139,healthy_pyroptosis
Nuclei_AreaShape_Zernike_2_2,0.0191,healthy_pyroptosis
Cells_Correlation_RWC_CorrER_CorrDNA,0.0011,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_5_3,0.0408,healthy_pyroptosis
Nuclei_Correlation_RWC_CorrDNA_CorrPM,0.036,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_5_5,0.0392,healthy_pyroptosis
Nuclei_RadialDistribution_RadialCV_CorrPM_3of4,0.0256,healthy_pyroptosis
Nuclei_Texture_InfoMeas1_CorrPM_3_01_256,0.0024,healthy_pyroptosis
Cells_Correlation_RWC_CorrDNA_CorrER,0.0155,healthy_pyroptosis
Nuclei_Texture_InfoMeas2_CorrER_3_03_256,0.0429,healthy_pyroptosis
Nuclei_Correlation_RWC_CorrDNA_CorrER,0.0127,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_5_1,0.0316,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_4_0,0.0019,healthy_pyroptosis
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_8_6,0.0377,healthy_pyroptosis
Nuclei_Texture_InfoMeas1_CorrER_3_01_256,0.0331,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_9_3,0.0481,healthy_pyroptosis
Cells_RadialDistribution_MeanFrac_CorrDNA_3of4,0.0331,healthy_pyroptosis
Cytoplasm_Texture_InfoMeas1_CorrDNA_3_03_256,0.0221,healthy_pyroptosis
Cytoplasm_Texture_InverseDifferenceMoment_CorrPM_3_01_256,0.0078,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_6_2,0.0287,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_9_1,0.024,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_8_4,0.0467,healthy_pyroptosis
Nuclei_Texture_DifferenceEntropy_CorrPM_3_02_256,0.0173,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_1_1,0.0177,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_4_2,0.0337,healthy_pyroptosis
Nuclei_AreaShape_Zernike_2_0,0.0203,healthy_pyroptosis
Cells_RadialDistribution_MeanFrac_CorrPM_4of4,0.017,healthy_pyroptosis
Cytoplasm_Texture_DifferenceEntropy_CorrPM_3_02_256,0.0054,healthy_pyroptosis
Nuclei_RadialDistribution_FracAtD_CorrPM_3of4,0.0131,healthy_pyroptosis
Nuclei_RadialDistribution_ZernikeMagnitude_CorrPM_9_9,0.0384,healthy_pyroptosis
Cytoplasm_Correlation_Overlap_CorrDNA_CorrGasdermin,0.0465,healthy_pyroptosis
Nuclei_Neighbors_FirstClosestDistance_Adjacent,0.0357,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_3_3,0.025,healthy_pyroptosis
Nuclei_Texture_InfoMeas2_CorrER_3_01_256,0.0425,healthy_pyroptosis
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_1_1,0.0339,healthy_pyroptosis
Cells_Correlation_Correlation_CorrMito_CorrPM,0.0448,healthy_pyroptosis
Nuclei_Granularity_1_CorrPM,0.0287,healthy_pyroptosis
Nuclei_RadialDistribution_MeanFrac_CorrDNA_3of4,0.0285,healthy_pyroptosis
Nuclei_Texture_Correlation_CorrER_3_02_256,0.024,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_8_2,0.0264,healthy_pyroptosis
Nuclei_RadialDistribution_ZernikeMagnitude_CorrPM_5_5,0.0254,healthy_pyroptosis
Cytoplasm_Texture_InfoMeas1_CorrDNA_3_01_256,0.0197,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_6_0,0.0391,healthy_pyroptosis
Cytoplasm_Texture_InverseDifferenceMoment_CorrPM_3_02_256,0.0093,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_7_7,0.0488,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_9_1,0.0485,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_3_1,0.0,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_1_1,0.0022,healthy_pyroptosis
Cytoplasm_Correlation_K_CorrPM_CorrER,0.0428,healthy_pyroptosis
Nuclei_RadialDistribution_MeanFrac_CorrPM_4of4,0.0031,healthy_pyroptosis
Cells_Correlation_RWC_CorrDNA_CorrMito,0.0316,healthy_pyroptosis
Nuclei_Texture_InverseDifferenceMoment_CorrPM_3_01_256,0.0157,healthy_pyroptosis
Cells_Intensity_MassDisplacement_CorrPM,0.0381,healthy_pyroptosis
Cytoplasm_AreaShape_Zernike_2_0,0.0009,healthy_pyroptosis
Cytoplasm_Texture_SumEntropy_CorrPM_3_03_256,0.0132,healthy_pyroptosis
Cytoplasm_AreaShape_Compactness,0.0236,healthy_pyroptosis
Cells_RadialDistribution_MeanFrac_CorrDNA_2of4,0.0409,healthy_pyroptosis
Cytoplasm_Texture_DifferenceEntropy_CorrPM_3_03_256,0.0044,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_3_1,0.0339,healthy_pyroptosis
Nuclei_Texture_InverseDifferenceMoment_CorrPM_3_00_256,0.015,healthy_pyroptosis
Nuclei_Intensity_MassDisplacement_CorrPM,0.0405,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_3_3,0.0262,healthy_pyroptosis
Cytoplasm_RadialDistribution_RadialCV_CorrPM_4of4,0.0263,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_6_0,0.0038,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_8_4,0.0325,healthy_pyroptosis
Cytoplasm_Correlation_Correlation_CorrER_CorrGasdermin,0.0035,healthy_pyroptosis
Cytoplasm_Texture_SumEntropy_CorrPM_3_01_256,0.0139,healthy_pyroptosis
Cells_RadialDistribution_MeanFrac_CorrGasdermin_3of4,0.0173,healthy_pyroptosis
Nuclei_RadialDistribution_FracAtD_CorrER_3of4,0.0279,healthy_pyroptosis
Cells_RadialDistribution_RadialCV_CorrPM_3of4,0.021,healthy_pyroptosis
Nuclei_RadialDistribution_ZernikeMagnitude_CorrPM_3_3,0.0107,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_2_0,0.0281,healthy_pyroptosis
Cells_AreaShape_Zernike_4_4,0.0149,healthy_pyroptosis
Nuclei_RadialDistribution_FracAtD_CorrPM_2of4,0.0297,healthy_pyroptosis
Nuclei_AreaShape_Zernike_0_0,0.04,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_7_1,0.0431,healthy_pyroptosis
Nuclei_Texture_Correlation_CorrER_3_03_256,0.0236,healthy_pyroptosis
Cytoplasm_Texture_DifferenceEntropy_CorrPM_3_00_256,0.0046,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_5_1,0.0365,healthy_pyroptosis
Nuclei_Correlation_Overlap_CorrDNA_CorrPM,0.0487,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_7_3,0.0318,healthy_pyroptosis
Cells_Correlation_RWC_CorrMito_CorrDNA,0.0416,healthy_pyroptosis
Cells_RadialDistribution_MeanFrac_CorrPM_1of4,0.0214,healthy_pyroptosis
Cells_Texture_InfoMeas1_CorrPM_3_00_256,0.0081,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_8_0,0.0366,healthy_pyroptosis
Nuclei_Texture_InverseDifferenceMoment_CorrPM_3_03_256,0.0174,healthy_pyroptosis
Cells_Intensity_StdIntensityEdge_CorrPM,0.0237,healthy_pyroptosis
Nuclei_RadialDistribution_RadialCV_CorrPM_4of4,0.0402,healthy_pyroptosis
Cells_RadialDistribution_RadialCV_CorrDNA_3of4,0.0037,healthy_pyroptosis
Cells_Intensity_MADIntensity_CorrPM,0.0117,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_4_0,0.0077,healthy_pyroptosis
Nuclei_Texture_InfoMeas1_CorrPM_3_03_256,0.0018,healthy_pyroptosis
Nuclei_Correlation_RWC_CorrDNA_CorrMito,0.0148,healthy_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_7_1,0.0093,healthy_pyroptosis
Cytoplasm_Correlation_K_CorrER_CorrPM,0.0126,healthy_pyroptosis
Nuclei_Texture_DifferenceEntropy_CorrPM_3_00_256,0.0157,healthy_pyroptosis
Nuclei_Texture_InverseDifferenceMoment_CorrPM_3_02_256,0.0167,healthy_pyroptosis
Nuclei_Intensity_StdIntensityEdge_CorrPM,0.0164,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_9_5,0.0499,healthy_pyroptosis
Cells_AreaShape_Zernike_2_2,0.0084,healthy_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_6_2,0.0382,healthy_pyroptosis
Cells_RadialDistribution_FracAtD_CorrDNA_2of4,0.0155,healthy_pyroptosis
Nuclei_Texture_Correlation_CorrER_3_00_256,0.0214,healthy_pyroptosis
Nuclei_Correlation_K_CorrER_CorrPM,0.0376,healthy_pyroptosis
